paper_id,l1_method,l2_method
1617,Theoretical and Formal Modeling,Behavioral & Cognitive Modeling
1587,Empirical and Econometric Methods,Panel Data and Fixed Effects
1238,Theoretical and Formal Modeling,Macroeconomic & Spatial Equilibrium
1440,"Qualitative, Descriptive, and Mixed Methods",Literature Reviews & Aggregation
1237,Experimental Methods,Field Experiments / RCTs
1286,Empirical and Econometric Methods,Structural & Advanced Econometrics
1526,"Qualitative, Descriptive, and Mixed Methods",Archival Research & Case Studies
1364,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1611,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1349,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1456,Experimental Methods,Field Experiments / RCTs
1529,Empirical and Econometric Methods,Structural & Advanced Econometrics
1618,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1301,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1430,Experimental Methods,Field Experiments / RCTs
1274,Empirical and Econometric Methods,Regression Discontinuity Design (RDD)
1225,Empirical and Econometric Methods,Instrumental Variables (IV) & Shift-Share Designs
1616,Empirical and Econometric Methods,Instrumental Variables (IV) & Shift-Share Designs
1253,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1514,Experimental Methods,Laboratory & Online Experiments
1380,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1311,Experimental Methods,Field Experiments / RCTs
1605,Experimental Methods,Laboratory & Online Experiments
1219,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1621,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1535,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1606,Theoretical and Formal Modeling,Behavioral & Cognitive Modeling
1515,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1344,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1613,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1266,Empirical and Econometric Methods,Regression Discontinuity Design (RDD)
1623,Empirical and Econometric Methods,Regression Discontinuity Design (RDD)
1322,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1528,"Computational, Data Science, and Machine Learning",Natural Language Processing (NLP) & Text Analysis
1620,Experimental Methods,Field Experiments / RCTs
1518,Empirical and Econometric Methods,Structural & Advanced Econometrics
1294,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1368,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1303,Empirical and Econometric Methods,Instrumental Variables (IV) & Shift-Share Designs
1419,Empirical and Econometric Methods,Regression Discontinuity Design (RDD)
1182,Empirical and Econometric Methods,Instrumental Variables (IV) & Shift-Share Designs
1545,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1454,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1249,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1590,Experimental Methods,Field Experiments / RCTs
1340,Empirical and Econometric Methods,Structural & Advanced Econometrics
1565,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1626,Empirical and Econometric Methods,Panel Data and Fixed Effects
1351,Empirical and Econometric Methods,Panel Data and Fixed Effects
1389,Empirical and Econometric Methods,Panel Data and Fixed Effects
1507,Empirical and Econometric Methods,Instrumental Variables (IV) & Shift-Share Designs
1278,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1187,Experimental Methods,Field Experiments / RCTs
1488,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1609,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1591,Empirical and Econometric Methods,Regression Discontinuity Design (RDD)
1268,Empirical and Econometric Methods,Instrumental Variables (IV) & Shift-Share Designs
1180,Empirical and Econometric Methods,Instrumental Variables (IV) & Shift-Share Designs
1525,"Computational, Data Science, and Machine Learning",Natural Language Processing (NLP) & Text Analysis
1331,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1510,Empirical and Econometric Methods,Instrumental Variables (IV) & Shift-Share Designs
1533,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1316,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1348,Empirical and Econometric Methods,Regression Discontinuity Design (RDD)
1330,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1318,Empirical and Econometric Methods,Regression Discontinuity Design (RDD)
1200,Empirical and Econometric Methods,Instrumental Variables (IV) & Shift-Share Designs
1592,Empirical and Econometric Methods,Regression Discontinuity Design (RDD)
1203,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1513,Empirical and Econometric Methods,Instrumental Variables (IV) & Shift-Share Designs
1300,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1194,Empirical and Econometric Methods,unknown
1471,"Qualitative, Descriptive, and Mixed Methods",Literature Reviews & Aggregation
1248,"Qualitative, Descriptive, and Mixed Methods",Archival Research & Case Studies
1532,Empirical and Econometric Methods,unknown
1321,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1610,Theoretical and Formal Modeling,Behavioral & Cognitive Modeling
1361,Empirical and Econometric Methods,Instrumental Variables (IV) & Shift-Share Designs
1385,Experimental Methods,Laboratory & Online Experiments
1608,Theoretical and Formal Modeling,Behavioral & Cognitive Modeling
1506,Empirical and Econometric Methods,Panel Data and Fixed Effects
1544,Empirical and Econometric Methods,Regression Discontinuity Design (RDD)
1566,Empirical and Econometric Methods,unknown
1324,Empirical and Econometric Methods,Natural Language Processing (NLP) & Text Analysis
1596,Experimental Methods,Survey & Conjoint Experiments
1241,Experimental Methods,Field Experiments / RCTs
1339,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1559,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1411,Empirical and Econometric Methods,Panel Data and Fixed Effects
1360,Experimental Methods,Field Experiments / RCTs
1542,"Computational, Data Science, and Machine Learning",Natural Language Processing (NLP) & Text Analysis
1615,Empirical and Econometric Methods,Instrumental Variables (IV) & Shift-Share Designs
1381,"Qualitative, Descriptive, and Mixed Methods",Literature Reviews & Aggregation
1350,Experimental Methods,Laboratory & Online Experiments
1382,Empirical and Econometric Methods,Instrumental Variables (IV) & Shift-Share Designs
1306,Experimental Methods,Field Experiments / RCTs
1578,Theoretical and Formal Modeling,unknown
1625,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1256,Empirical and Econometric Methods,Instrumental Variables (IV) & Shift-Share Designs
1555,Empirical and Econometric Methods,Structural & Advanced Econometrics
1327,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1220,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1408,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1315,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1428,Empirical and Econometric Methods,unknown
1442,"Computational, Data Science, and Machine Learning",Natural Language Processing (NLP) & Text Analysis
1358,"Qualitative, Descriptive, and Mixed Methods",Archival Research & Case Studies
1554,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1255,"Computational, Data Science, and Machine Learning",Natural Language Processing (NLP) & Text Analysis
1443,Empirical and Econometric Methods,Instrumental Variables (IV) & Shift-Share Designs
1308,Empirical and Econometric Methods,Structural & Advanced Econometrics
1386,Empirical and Econometric Methods,Instrumental Variables (IV) & Shift-Share Designs
1298,Empirical and Econometric Methods,Structural & Advanced Econometrics
1602,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1573,"Qualitative, Descriptive, and Mixed Methods",Literature Reviews & Aggregation
1396,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1482,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1560,Experimental Methods,Laboratory & Online Experiments
1346,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1284,Experimental Methods,Field Experiments / RCTs
1467,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1366,Empirical and Econometric Methods,Structural & Advanced Econometrics
1355,Experimental Methods,Survey & Conjoint Experiments
1372,Experimental Methods,Field Experiments / RCTs
1469,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1599,Theoretical and Formal Modeling,Behavioral & Cognitive Modeling
1504,"Computational, Data Science, and Machine Learning",Network & Spatial Analysis
1597,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1205,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1257,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1376,Empirical and Econometric Methods,Structural & Advanced Econometrics
1314,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1338,Experimental Methods,Field Experiments / RCTs
1335,Experimental Methods,Laboratory & Online Experiments
1537,Empirical and Econometric Methods,Structural & Advanced Econometrics
1600,Empirical and Econometric Methods,Structural & Advanced Econometrics
1291,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1473,Empirical and Econometric Methods,Regression Discontinuity Design (RDD)
1272,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1438,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1595,Experimental Methods,Field Experiments / RCTs
1236,Experimental Methods,Field Experiments / RCTs
1378,Theoretical and Formal Modeling,Network & Spatial Analysis
1502,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1310,Empirical and Econometric Methods,Structural & Advanced Econometrics
1277,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1478,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1462,Theoretical and Formal Modeling,Macroeconomic & Spatial Equilibrium
1304,"Qualitative, Descriptive, and Mixed Methods",Archival Research & Case Studies
1453,Theoretical and Formal Modeling,Behavioral & Cognitive Modeling